MOD05-BUENAVISTA,RBAQD500517AS07,BUENAVISTA,2012,RBQAL500517AS07,
MOD04-BUENAVISTA,BQAD5000517AS4,BUENAVISTA,2012,BQAD5000517AS11,
GB1-BUENAVISTA,RBAQD500517CJ03,BUENAVISTA,2012,RBAQD500517CJ03,
MOD11-BUENAVISTA,BQAD5000517AS8,BUENAVISTA,2012,RBQAL500517AS09,
MOD07-BUENAVISTA,BQAD5000517AS09,BUENAVISTA,2012,RBQAL500517AS12,
MOD10-BUENAVISTA,BQAD5000517A010,BUENAVISTA,2012,RBQAL500517AS06,
MOD01-BUENAVISTA,BQAD5000517A11,BUENAVISTA,2012,BQAD5000517A11,
MOD09-BUENAVISTA,BQAD5000517AS12,BUENAVISTA,2012,RBQAL500517AS08,
BOD-BUENAVISTA,BQAD5000517BO01,BUENAVISTA,2012,BQAD5000517BO01,
MOD08-CARIBEPLAZA,RCTGD5000504AS08.colombiamovil.corp,"CARIBE PLAZA",2012,RCTGD5000504AS08.COLOMBIAMOVIL.CORP,
CRD-CARIBEPLAZA,CTGD5000504C001.colombiamovil.corp,"CARIBE PLAZA",2012,CTGD5000504C001.COLOMBIAMOVIL.CORP,
MOD09-CARIBEPLAZA,CTGD5000504AS07.colombiamovil.corp,"CARIBE PLAZA",2012,CTGD5000504AS07.COLOMBIAMOVIL.CORP,
MOD10-CARIBEPLAZA,CTGD5000504AS10.colombiamovil.corp,"CARIBE PLAZA",2012,CTGD5000504AS10.COLOMBIAMOVIL.CORP,
MOD11-CARIBEPLAZA,CTGD5000504AS11.colombiamovil.corp,"CARIBE PLAZA",2012,CTGD5000504AS11.COLOMBIAMOVIL.CORP,
MOD13-CARIBEPLAZA,CTGD5000504AS12.colombiamovil.corp,"CARIBE PLAZA",2012,CTGD5000504AS12.COLOMBIAMOVIL.CORP,
MOD06-CARIBEPLAZA,CTGD5000504AS06P.colombiamovil.corp,"CARIBE PLAZA",2012,CTGD5000504AS06P.COLOMBIAMOVIL.CORP,
MOD05-CARIBEPLAZA,CTGD5000504AS05.colombiamovil.corp,"CARIBE PLAZA",2012,CTGD5000504AS05.COLOMBIAMOVIL.CORP,
